index,true_label,candidate_labels,complementary_label
0,19,"['road'; 'motorcycle']",motorcycle
1,29,"['girl'; 'sunflower']",sunflower
2,0,"['train'; 'flatfish']",train
3,11,"['poppy'; 'boy']",poppy
4,1,"['maple_tree'; 'caterpillar']",maple_tree
5,86,"['tank'; 'lizard']",lizard
6,90,"['road'; 'bus']",bus
7,28,"['wolf'; 'rabbit']",wolf
8,23,"['mouse'; 'dinosaur']",dinosaur
9,31,"['mountain'; 'butterfly']",butterfly
10,39,"['lawn_mower'; 'flatfish']",lawn_mower
11,96,"['sea'; 'woman']",woman
12,82,"['motorcycle'; 'flatfish']",motorcycle
13,17,"['crocodile'; 'turtle']",crocodile
14,71,"['lamp'; 'fox']",fox
15,39,"['lawn_mower'; 'flatfish']",lawn_mower
16,8,"['rose'; 'seal']",seal
17,97,"['crocodile'; 'motorcycle']",motorcycle
18,80,"['flatfish'; 'lion']",lion
19,71,"['fox'; 'lamp']",lamp
20,74,"['man'; 'lawn_mower']",lawn_mower
21,59,"['oak_tree'; 'mountain']",mountain
22,70,"['road'; 'cup']",cup
23,87,"['man'; 'bus']",bus
24,59,"['mountain'; 'oak_tree']",mountain
25,84,"['pickup_truck'; 'maple_tree']",maple_tree
26,64,"['shark'; 'tractor']",tractor
27,52,"['forest'; 'pear']",pear
28,42,"['cattle'; 'skyscraper']",skyscraper
29,64,"['tractor'; 'shark']",tractor
30,8,"['seal'; 'rose']",rose
31,17,"['turtle'; 'crocodile']",turtle
32,47,"['tank'; 'raccoon']",raccoon
33,65,"['can'; 'crab']",crab
34,21,"['mouse'; 'woman']",woman
35,22,"['possum'; 'lizard']",possum
36,81,"['bottle'; 'mushroom']",mushroom
37,11,"['boy'; 'poppy']",poppy
38,24,"['lawn_mower'; 'train']",lawn_mower
39,84,"['pickup_truck'; 'maple_tree']",maple_tree
40,78,"['poppy'; 'bus']",bus
41,45,"['keyboard'; 'orange']",keyboard
42,49,"['raccoon'; 'beetle']",beetle
43,97,"['crocodile'; 'motorcycle']",crocodile
44,56,"['snail'; 'willow_tree']",snail
45,76,"['lizard'; 'kangaroo']",lizard
46,11,"['poppy'; 'boy']",poppy
47,90,"['road'; 'bus']",bus
48,89,"['bear'; 'bed']",bear
49,78,"['bus'; 'poppy']",poppy
50,73,"['chair'; 'shark']",chair
51,14,"['oak_tree'; 'ray']",Oak tree
52,87,"['man'; 'bus']",bus
53,9,"['mouse'; 'camel']",camel
54,71,"['lamp'; 'fox']",lamp
55,6,"['castle'; 'beetle']",castle
56,47,"['raccoon'; 'tank']",tank
57,20,"['forest'; 'poppy']",forest
58,98,"['pine_tree'; 'pickup_truck']",pine_tree
59,47,"['tank'; 'raccoon']",raccoon
60,36,"['clock'; 'woman']",clock
61,55,"['skyscraper'; 'bicycle']",bicycle
62,72,"['palm_tree'; 'camel']",palm_tree
63,43,"['willow_tree'; 'bottle']",bottle
64,51,"['bicycle'; 'mouse']",bicycle
65,35,"['crocodile'; 'orchid']",crocodile
66,83,"['couch'; 'oak_tree']",couch
67,33,"['mushroom'; 'chimpanzee']",chimpanzee
68,27,"['apple'; 'oak_tree']",apple
69,53,"['pine_tree'; 'orchid']",pine_tree
70,92,"['worm'; 'plain']",worm
71,50,"['otter'; 'bed']",otter
72,15,"['rose'; 'snail']",rose
73,89,"['bear'; 'bed']",bear
74,36,"['clock'; 'woman']",woman
75,18,"['trout'; 'bottle']",bottle
76,89,"['bed'; 'bear']",bear
77,46,"['orange'; 'table']",table
78,33,"['chimpanzee'; 'mushroom']",mushroom
79,42,"['skyscraper'; 'cattle']",skyscraper
80,39,"['lawn_mower'; 'flatfish']",lawn_mower
81,64,"['shark'; 'tractor']",tractor
82,75,"['boy'; 'lizard']",lizard
83,38,"['rose'; 'sunflower']",rose
84,23,"['mouse'; 'dinosaur']",dinosaur
85,42,"['cattle'; 'skyscraper']",skyscraper
86,66,"['pear'; 'kangaroo']",kangaroo
87,77,"['tulip'; 'pine_tree']",pine_tree
88,49,"['raccoon'; 'beetle']",raccoon
